"date.time","lev1.uavg","lev2.uavg","lev1.ustar","lev2.ustar","lev1.sh","lev1.le.1","lev1.le.2","lev1.co2.1","lev1.hno3","lev1.hono","lev1.n2o","lev1.le.gd","lev1.co2.gd","lev1.nh3.gd","lev1.no.gd","lev1.nox.gd","lev1.n2o.gd","lev1.wd","lev2.wd","lev1.xmax","flag.stat","flag.itc","flag.fpt","flag.n1n2","lev1.ta","lev2.ta"
2019-07-07 00:15:00,3.01128792755989,2.58643810119141,0.30000471626434,0.209255190649286,-9.91649860805231,13.4014809928559,16.4308879597727,0.0574347205293134,0.00283436655808266,0.00920026401632408,3.13226407199995,21.5257345487061,0.0159903483291839,-0.00721228384330327,-0.000395885260493803,-0.00102082985772546,-1.68090677994819e-05,238.737687116169,224.392793435121,16.8156732931646,TRUE,TRUE,TRUE,"N1",29.4491275969197,28.9015850296093
2019-07-07 00:30:00,2.15292652706627,1.82206102396101,0.194320808608425,0.170563846581052,-9.69499944845741,18.7016566915571,15.3968775392839,0.0950826390134351,0.00163793308930526,0.00635338979361356,2.58199780784794,12.8144206041254,0.0264718710889677,-0.00264674572405624,-5.64973013273283e-05,0.00102988952375621,-5.83704380947195e-06,245.472008052195,229.931703549662,14.0603538279331,FALSE,TRUE,FALSE,"N1",29.4811025067675,28.963220920772
2019-07-07 00:45:00,2.31550801386708,1.94910634299996,0.214604256656472,0.142543469328349,-19.8828768167077,22.6360089304746,14.3397213020667,0.133462154107026,0.00186845974705967,0.00625296796253892,2.24117305701129,13.603476059652,0.0371570769957061,-0.0089753060297177,0.000111420767410512,0.00129718703151773,-4.44227512936763e-08,232.835154732729,218.780356785707,18.9813700061498,TRUE,TRUE,TRUE,"N1",29.7990486733316,29.3674920601047
2019-07-07 01:00:00,1.9001129324891,1.60137522885116,0.134957008501472,0.108605076130959,-6.01241017487087,7.05982967692167,15.4424999353,0.0177190877874738,-0.0007804299617145,0.00457770387648483,2.2891326450966,2.27093018903973,0.00493315512264897,0.000127739874271853,1.89164795322458e-05,7.42771575591411e-05,-1.09185479126175e-07,246.293324663968,229.913309882494,12.8976743103378,TRUE,TRUE,FALSE,"N1",29.3758981162182,28.8983584640099
2019-07-07 01:15:00,1.6906933116478,1.4356941564831,0.165231130036523,0.123853849046648,-9.20718468572861,16.0500577481029,14.2403649997096,0.0519651074612549,0.00106616358234738,0.0051313537711963,2.12348833769903,7.29255683073464,0.0144675583272812,0.00298030583791992,7.20302515467021e-05,5.4422268729296e-05,4.09806644889064e-06,242.464878242155,226.495564441704,15.5517910378739,FALSE,TRUE,FALSE,"N1",29.3541314296763,28.9068881689297
2019-07-07 01:30:00,1.13749100250137,0.881303405284883,0.0905840192048361,0.0738490377396738,-9.96555737278107,12.6864555089385,8.72629156426293,0.108267693847594,0.000965721796522977,0.00281134089922732,1.07802295850237,53.6603236366343,0.0301427102189324,0.023335917747406,-0.000446308114967921,-0.0018475029220592,0.000133012900505594,227.441903053937,212.369451982781,16.1140231000728,FALSE,TRUE,TRUE,"N1",28.9976621278266,28.6207701747132
2019-07-07 01:45:00,0.657807990177963,0.472054444094638,0.096832636451493,0.0727561464748883,-0.731244715151052,3.69050377521822,4.85415619216078,-0.163488078115342,0.000550600360422907,0.00162708072248205,-1.10719941867738,6.74335543568436,-0.0455165672025668,0.0177287316540041,0.000390406330580881,0.00459878082709254,2.86255706702475e-05,233.360612137217,213.396502803296,7.32603429164215,FALSE,FALSE,TRUE,"N1",28.4611964586057,28.0818274530853
2019-07-07 02:00:00,0.855736513020245,0.69773279788481,0.0770851045134346,0.0566754528315635,-3.44185041493337,3.87874160067023,6.47713703646678,0.0686551396645471,0.000624343394868401,0.00181327117315821,0.766743183881488,-23.0631113305752,0.0191142150202432,-0.0147736337971248,-0.0022827045330787,-0.0117940477181063,-8.23016264887766e-06,229.007226106088,212.172885750834,16.7346883907718,FALSE,TRUE,TRUE,"N1",28.4388713174098,27.935673806056
2019-07-07 02:15:00,1.11747291879468,0.829606684708224,0.0751489192728517,0.076586740945994,-3.14689165114233,1.57654864577588,3.47565284052812,0.0292531122016397,0.000924289225655943,0.00205784458542091,0.169145999165221,1.24504943083099,0.00814433237432014,-0.00168161898001119,0.000138744150831698,0.000394797231172505,-2.84387660378364e-07,204.227167885715,190.481217257114,14.3054762736345,TRUE,TRUE,TRUE,"N1",28.1015037799614,27.6350505068873
2019-07-07 02:30:00,1.00381131083141,0.739226654316467,0.0670604006400151,0.070958285470182,-0.313730380141349,-1.82216204648676,0.555437825976962,-0.120802805096324,0.000990686232692014,0.00188801008377301,1.16457838582902,-3.63231213787478,-0.0336325991461355,0.00529142650723139,-0.000264258391628036,-4.90051494028787e-06,6.61801853845198e-07,211.930549549544,193.646674709787,13.6271068854979,FALSE,FALSE,TRUE,"N1",28.012770544079,27.5745573019975
2019-07-07 02:45:00,0.304124871634852,0.257772325526617,0.126429520845994,0.0797438089227222,13.672532839357,-14.7849913912177,5.15981475763489,-0.382352136661685,0.00158117525164421,0.00208971673337781,0.156354154900937,-16.4500246945626,-0.106450310775128,0.0367527163606978,-0.00072011246482748,0.00820970272179224,4.06437980751486e-05,242.534996269334,226.507018792027,2.65734926964138,FALSE,FALSE,FALSE,"N1",28.2351310375275,27.765998302898
