"date.time","lev1.uavg","lev2.uavg","lev1.ustar","lev2.ustar","lev1.sh","lev1.le.1","lev1.le.2","lev1.co2.1","lev1.hno3","lev1.hono","lev1.n2o","lev1.le.gd","lev1.co2.gd","lev1.nh3.gd","lev1.no.gd","lev1.nox.gd","lev1.n2o.gd","lev1.wd","lev2.wd","lev1.xmax","flag.stat","flag.itc","flag.fpt","flag.n1n2"
2019-07-20 00:30:00,2.18800191369253,1.79562398489538,0.173244186561015,0.149561152926546,-12.3907961177588,42.125599814377,17.2569931338898,0.101564474067611,0.00433210587842582,-0.00118980402447271,1.86822740215178,54.361982487366,0.0163080876177542,-0.0112751674237936,0.00100295335927543,0.00256518156319073,2.22772465749305e-05,228.217831045306,204.290817555316,16.2326223585781,TRUE,TRUE,TRUE,"N1"
2019-07-20 00:45:00,2.10928911119333,1.8017956277912,0.143373181746611,0.124421576337224,-18.2123107151672,41.5590054499154,12.5221887360075,0.11958560466727,0.00195721489689826,0.00762359361754677,1.8737510639833,38.4317690951139,-0.00153033236491308,-0.00181752492493967,0.00043328460684588,0.00278372361518009,1.44890153449836e-05,241.873385583761,216.939520665079,20.3150219704896,TRUE,TRUE,TRUE,"N1"
2019-07-20 01:00:00,2.64176965393032,2.28332968174254,0.252906093440144,0.149917427044052,-26.1265947796192,70.9748735537872,36.8428956733535,0.203814178623569,0.00045561701636002,0.0116992197500574,4.20272794762338,20.9747293124915,-0.0154062958759051,0.0199347354319079,0.000489828711908203,0.000819621285962115,2.81431534574655e-05,245.157285585486,220.02386911299,21.5532028383769,TRUE,TRUE,TRUE,"N1"
2019-07-20 01:15:00,2.91213817263617,2.56280756962907,0.0737879828714851,0.145200499919161,-15.8798172498901,27.4935001544028,23.9173232770357,0.0220454473523185,0.00250978090131869,0.00742965616346267,3.36955467803321,22.8980755696634,-0.0224806684223561,-0.00551776007318882,0.000663257399125375,0.00118408033164459,2.49068801095809e-05,246.66302715079,221.285228713426,25.5556986435419,TRUE,TRUE,TRUE,"N1"
2019-07-20 01:30:00,2.51438570629311,2.27067917110153,0.180856303522516,0.139681244431582,-16.7187593647792,48.9171196089821,25.5360342958589,0.0411258390121175,0.00733364484292913,0.00345894629862277,2.39401750622223,40.1402949042681,-0.00211881359426531,-0.022058992503278,0.00101761774218111,0.00155648854639279,3.27624782956933e-05,247.840295739088,222.752170917431,23.24918159346,TRUE,TRUE,TRUE,"N1"
2019-07-20 02:00:00,2.28096609525735,2.11594393223087,0.185549654880898,0.135587114110704,-14.1730538944387,38.0128443158611,22.1169859070943,0.0127347787054058,0.00205600160614946,0.00612022938385011,1.95841373105223,72.0226639307456,0.0487610895785803,0.00746359239151282,0.00208715844906352,0.000533327666116002,9.24334988907901e-05,253.314908691922,226.163791485223,22.1735604273433,TRUE,TRUE,FALSE,"N1"
2019-07-20 02:15:00,2.53596402033176,2.17393440614339,0.154428443011356,0.136730756077999,-15.3781063310064,29.2748765532239,21.325464797319,0.0808216213808554,0.0025989407472059,0.0062072140924464,2.57958174288583,33.2176042757806,-0.00722500274736186,0.00858838104927267,0.00112817559017078,0.00065016214344301,3.21613294051404e-05,245.441761556157,220.1937758466,22.6590801680509,TRUE,TRUE,TRUE,"N1"
2019-07-20 02:30:00,2.99984094664889,2.46591282214943,0.251657557167741,0.18616368619513,-12.5182893075641,36.4357352846184,25.0097168013005,0.00542860406452983,0.00276983555092529,0.00691375542186626,2.55669777635938,48.7641479218329,-0.0376519331714449,-0.00834428557703998,0.00145781167459479,-0.000323963891455283,2.01565513695995e-05,227.898654043446,203.764609674297,18.2754453006623,TRUE,TRUE,TRUE,"N1"
2019-07-20 02:45:00,3.05275395719125,2.4884792766241,0.229793724171839,0.213926216325798,-19.5396594285893,60.0360780916855,37.0691147457081,0.161029499451949,0.00273307825731196,0.00599342050378635,2.41929510585504,10.6093958242511,-0.0644334160605936,0.0699184758997436,0.0013221725039957,-0.00679133617590246,8.68844035048702e-07,208.13693350879,186.642909070558,15.6184651581505,TRUE,TRUE,TRUE,"N1"
2019-07-20 03:00:00,4.12662007798897,3.38920983498703,0.34728076488318,0.248867938220771,-24.9559497723688,61.5109315350355,36.9111587222355,0.111751362612778,0.00315391309556736,0.00977913598272212,3.85590546146461,38.1911584729532,0.0355127236388121,0.0203340020839465,0.00122188981099912,-0.00139550482392362,-1.55051256924779e-05,227.919238153669,204.382070300275,18.890163744152,FALSE,TRUE,TRUE,"N1"
2019-07-20 03:15:00,4.79388169915442,3.87385991938909,0.389238613602565,0.305569057826321,-25.8098672112115,34.3615761208551,40.8704483934316,0.0346946703773,0.00400325197072389,0.00755529656353082,4.27872877523707,89.2360675929207,0.0564414112774409,-0.0643452433004488,0.0016629158422002,0.00582936704643209,-1.28294198093646e-05,225.246055095121,202.052930964668,11.6140784445735,TRUE,TRUE,TRUE,"N1"
2019-07-20 04:00:00,3.04851795945461,2.64074926698272,0.283849959352288,0.155977557685906,-19.5289728227739,54.677485415036,35.9269577889197,0.0701531843054126,0.00293542391910997,0.00851379615302316,2.90404584281135,25.2669498144479,-0.0263411258025687,0.0198348100294854,0.000690242924160853,0.000318568209055771,2.42100174687505e-05,244.107017999194,217.915900045688,24.364529678205,TRUE,TRUE,TRUE,"N1"
